userName,content,score,thumbsUpCount,at
monster hunter,"- DUIT SELLER DI HOLD 6 HARIAN UNTUK DI PUTERIN DI PINJOL ""FINDAYA DAN ADAKAMI"" BISA DI CHECK DI DASHBOARD KEUANGAN - PAJAK POTONGAN 17% YANG DI BEBANKAN KE SELLER DAN MASIH ADA BEBERAPA YANG TIDAK DI BERITAHUKAN SEBELUMNYA, ALIAS PAS AKTIF SETELAH MIGRASI, PAJAK YG DLL INI - CS LEBIH PRO KE PEMBELI KETIMBANG KE PENJUAL DAN JIKA ADA BARANG YG DI KEMBALIKAN SELLER LAH YANG NANGGU SEMUA ONGKOS KIRIMNYA -PAJAK FREEONGKIR SEBESAR 6% MAX 40K INI SAMA AJA PENJUAL YG NANGGU ONGKIR DLL LANJUTKAN",1,1,2025-05-29 03:33:45
Andi Nugroho Pati,"daftar paylater susah, opsi pengiriman juga ga bisa dipilih, promo ga jelas, nyari apa keluarnya ga sesuai 😪",1,1,2025-05-29 03:17:59
Deny Advokat,selalu di tokped,5,0,2025-05-29 03:06:38
Fiki Saiful,good,5,0,2025-05-29 02:57:43
Eva Fathonah,"merugikan pembeli, sistem kacau membela seller, mending marketplace sebelah orange dan biru, sistem lebih oke ada perlindungan terhadap pembeli",1,2,2025-05-29 02:48:24
Ahier Baba,"tolong untuk toko pedia d perhatikan lagi tokonya toko penipu banyak d toko pedia ,saya pesan brang liat ulasan semua bagus trus katanya PO seminggu dua hari paketnya DTG tapi isinya bukan brang yg d pesan, tlong untuk toko pedia proses dana saya saya cht tokonya udah gkda lagi tokonya udah non aktif",1,1,2025-05-29 02:43:05
ibnu 1234,pencarian melalui photo di buat juga dong.,5,3,2025-05-29 01:23:47
seller tiktok1,"APLIKASI GAK JELAS . ORDERAN GAK DI KIRIM MELEBIHI BATAS WAKTU YG DI TENTUKAN, CHAT PENJUAL GAK ADA RESPON . AJUKAN PEMBATALAN ORDER GAK ADA KEJELASAN. KOMPLAIK KE CS JUGA TIDAK ADA SOLUSI SELAIN MENUNGGU PERSETUJUAN PENJUAL . bisa di perbaiki tidak sistmnya ? apa memang hanya cari keuntungan dari pengguna saja ?",1,2,2025-05-29 00:59:55
Dwi Riyanto,"udah mulai jelek kualitasnya, saya dan istri pesan ditokped diakun berbeda udah nunggu lama2 ga kebaca pickup dan batal sendiri. dari seller katanya udah kirim. aneh!",1,1,2025-05-29 00:41:39
A,good,5,0,2025-05-29 00:25:56
nur holik,Mantap,5,0,2025-05-29 00:19:39
Renja Falupi,membantu bgt masa pandemi,1,1,2025-05-29 00:17:16
Rafa Osca aditya Roa,#HATI HATI# belanja di tokped. ini pengalaman saya belanja di tokped. kalo udah ada proses pengiriman walaupun bukan pembeli yang membatalkan uang ongkir tidak kembali ke dana Refund pembeli. sistem inilah yang harus di koreksi ulang oleh pihak tokped. terima kasih,1,1,2025-05-29 00:04:18
Pian Pian,diskon pengguna baru tidak bisa dipakai,1,1,2025-05-28 23:42:52
Lutfia anjarini,"GRATIS ONGKIR SM CASHBACK GA BS DIGABUNG, 🙈👎👎👎👎👎👎",5,1,2025-05-28 23:37:14
Click Ae,mending bangkrut aja sekalian. pelayanan untuk pembeli zonk. banyak pembeli yang merasa kena tipu tp gak ada perlindungan. pengembalian barang sangat lama. cs g adil gak jelas.,1,3,2025-05-28 23:09:15
Nanang Haryono,toko pedia bagus semoga kedepannya banyak diskon ongkirnya diperbanyak agar pelanggan bisa belanja disini,5,0,2025-05-28 22:52:12
Ridwan Styawan,apk maling Masa g pernah transaksi tiba tiba Ada transaksi aneh ..bakikin saldo gua njing,1,1,2025-05-28 22:49:51
Andri Nur Rachman,"ga ada fitur live chat nya, susah ngehubungi csnya",1,2,2025-05-28 22:49:15
To Tong,pesanan saya di batalkan oleh sistem tanpa persetujuan saya dan biaya ongkos kirim tidak di kembalikan sangat kecewa aplikasi yang buruk,1,1,2025-05-28 22:46:26
Dandelion Nadia,"tidak ada masalah dengan aplikasi nya yng bermasalah kurir ny sombong sangat tidak ramah pengiriman lama terus tidak mau balik lagi, dikirim ny besoknya lagi.",2,0,2025-05-28 22:42:39
ahmad Halwani,"udah 5 bulan GopayLater saya diblokir .... ada apa EMG ???? pinjaman sudah lunas, Paylater ttp ga bisa di gunakan ... saya berhenti belanja bulanan di TOKOPEDIA, yg sebelumnya saya bisa berbelanja 21jt/tahun. lebih baik belanja di Pasar saja ... sampah banget Apk nya, sistem Pembatalan lama, banyak Toko Sembako ga aktif bahkan Fiktif. Lama-lama kalian kehilangan banyak pengguna !!!!",1,4,2025-05-28 22:34:57
Cahyaningsih,iklan elu banyak di aplikasi cape saye 3 hari 3 malem kenganggu iklan kau tohapok,1,1,2025-05-28 22:28:28
Andri Lugis,"card kredit saya kena hack,dan limit 3jt saya hilang,tiba tiba sudah ada 3 transaksi, sumpah demi apapun saya tidak pernah ngambil limit itu,saya tidak akan membayar tagihannya, karna saya tidak merasa melakukan transaksi tersebut..",1,1,2025-05-28 22:25:23
Elektrik non,"SALDO PENJUALAN SAYA BELOM MASUK2 INI ,SUDAH CHT SELLER PUN SOLUSI GK ADA BERTELE2 ,TOLONG DI BANTU KEPADA ADMINNYA!!!!",1,1,2025-05-28 22:17:34
Pasko Paseo,apalah tokped. upload foto/video ulasan lama banget. dipake upload yg lain aman aman aja,3,0,2025-05-28 22:07:07
Pengadilan Lubis,gak sukak iklan nya,5,0,2025-05-28 22:06:50
kim paidjoe,"tambah lemooooot,buka halaman beratttt ...payahhhh",2,2,2025-05-28 21:54:10
Rafi Ahmad,barang kurang lengkap udah itu barang yang di toko online lain murah tapi disini mahal,3,0,2025-05-28 21:50:37
Minecraft FaDan,lebih ringan dari shoppe,5,0,2025-05-28 21:48:26
Mochmasum Sum,bagus,5,0,2025-05-28 20:52:20
yuli yani,bagus servisnya,5,0,2025-05-28 20:44:05
Hitler Adiotua Nababan,"min kasih promo yg masuk akal napa, masa ada yg diatas harga retail awal...gw dah kasih rating bagus nohh",5,0,2025-05-28 20:41:20
Jumbo Jet,Mantaaaapppp,4,0,2025-05-28 20:36:15
heru erlangga,mantap,5,0,2025-05-28 20:33:51
Dita Yaniar,Minta update terus kak,4,0,2025-05-28 20:33:01
Kentang Grng,"banyak penipu , trus pusat komplenya gak bisa memahmi kendala masalh gak lagi pake tokped",1,3,2025-05-28 20:32:44
cod gans,makin aneh aja ini . pencairan dana pesanan selesai sampe 1 Minggu . mau bangkrut ya ..,1,1,2025-05-28 20:15:20
agil ariwiyanto,kurirnya emang harus di review kadang yang buat gak nyaman mang kurirny brang lama ngantrnya,5,0,2025-05-28 20:10:11
Wisnu Prasetyo,tolong toko penipuannya di urus. kok bisa lolos. gmpang banget penipunya bikin akun toko baru berganti2 buat nipu orang2.,1,1,2025-05-28 20:09:09
Wahyu Kurniawan,"ga jelas pelayanan csnya, mau retur karna kesalahan penjual malah ditolak padahal udah dikasih bukti video unboxing, terus apa gunanya video unboxing kalo ttp ditolak jga, bakalan w uninstall nih tokped, kapok w blnja dsni",1,3,2025-05-28 19:51:25
Jhoni eneste,mantul,5,0,2025-05-28 19:48:43
Husni Ahmad anthon derato (Anthon),"pesanan saya dibatalkan sepihak dan dana terpotong, sangat mengecewakan. pengalaman terburuk saya alami di aplikasi ini, selama hampir tujuh tahun saya berlangganan dg beberapa aplikasi belanja online",1,1,2025-05-28 19:22:25
Dhauz Tuffkid,aplikasinya kurang stabil padahal saya ram 8/256 🙄,4,0,2025-05-28 19:12:11
Heto Sha,Ka untuk upload video barang bermasalah lama sekali seperti tidak dapat menampilkan video komplain barang kurang... Aplikasi tidak dapat menampilkan video ukuran 50 mb.,1,1,2025-05-28 19:11:04
Umi Sumiyati,bagus,5,0,2025-05-28 19:08:35
Agung Bepe,good,5,0,2025-05-28 19:01:41
Beni Susanto,"buat jualan pulsa,token listrik,kuota...lumayan lah....",5,0,2025-05-28 18:56:36
Rafael Abhipraya,mantap,5,0,2025-05-28 18:54:44
Susi Lawati,ribet bgt,2,2,2025-05-28 18:47:49
Opetz Opetz,Tolong kasih pilihan pengiriman nanti di tambah bintangnya,3,0,2025-05-28 18:45:11
Harya Di,pembayaran yang praktis,5,0,2025-05-28 18:42:40
Jesika,stop sering muncul iklan terus.,1,1,2025-05-28 18:33:13
Arrazy Elangz,perbaiki itu lo upload video bukti kerusakan udaahh dibawah 10mb masih ada tulisan maaf ada gangguan teknis coba lagi ya. gimana caranya ku claim?????,3,0,2025-05-28 18:25:37
Boy Sibarani,good,5,0,2025-05-28 18:23:29
Cok Agus,ada kesalahan dalam transaksi di go pay later gagal bayar hingga limit berkurang banyak dalam kurun waktu kurang dari 24 jam dana sudah kembali ke limit sebenar nya,5,0,2025-05-28 17:20:11
Nyai Oliz,mantap,5,0,2025-05-28 17:19:55
Muji Mujiyansa,tidak bisa kirim ke semua tampat seperti kalimantan,1,1,2025-05-28 17:17:51
tri sintya,kenapa Mitra Tokopedia harus ditutup? sy tidak dapat mengakses data transaksi,1,1,2025-05-28 16:55:43
fajar,"ga ada gratis ongkir, mahal",1,1,2025-05-28 16:14:02
Uch Iel,"Olshop aneh, ada voucher potongan tidak bisa di pakai, ga niat ngasih vouchernya potongn dan skrg kalau belanja tdk bisa pakai gratis ongkir dan voucher potongn hrga",1,1,2025-05-28 16:13:25
Lovenda Anggesti,"tokped gak kaya dlu lagi, skrng lbih menguntungkn penjual drpda pembeli sudah jls penjual bermaslah tetpi msh di untngkan. kcwa sekali",1,2,2025-05-28 16:10:05
tri imam wahyudi,sayang sekali kalo akun dh ga aktif nomer ga bisa dipake lg.,2,0,2025-05-28 15:51:14
김MAX,tampilan antarmuka aplikasi kurang bagus. jadi makin ribet.,1,1,2025-05-28 15:38:42
bayu segara,"tokopedia sekiranya bisa menerapkan ambil ditempat paket, karena tdk selalu ada dirumah,biar kurir gak bolak balik , misal paket bisa di ambil di jnt terdekat, atau bisa di ambil di expedisi terdekat",5,0,2025-05-28 15:37:22
Ferdy,"jualan di tokped malah buntung, ongkir yang di tampilkan di awal pas pembeli nya cek out berbeda sama pas sampe tujuan naik 11 x lipat (katanya ada penyesuian tapi di tagihkan ke penjual) alhasil maen potong aj saldo nya hasil penjualan produk 100 rb lebih malah dikuras untuk nombok ongkir si pembeli , hati2 gays jaman skrg banyak penipuan apalagi ekspedisi si cepat gak pake konfirmasi dlu aja maen ubah tarif secara sepihak tanpa adanya pemberitahuan dlu",1,1,2025-05-28 15:31:33
Ben Samsudi,🥰,5,0,2025-05-28 15:24:40
Abdurrahman Zen,"Pas cek out pesanan barang berubah sendiri, pesan sepatu malah jadi kipas angin, untung ngeh sama harganya yg tiba2 berubah, dicoba ulang berkali2 hasilnya tetap sama, lompat ke barang dan seller lain. Bener2 ngaco. Yg paling ngeselin fitur pembatalan pesanan harus minta persetujuan seller padahal seller lelet buang2 waktu pembeli, harusnya selama barang belum dikirim pembeli bebas membatalkan pesanannya. Kalo sepwrti ini cuma buang waktu dan menahan dana pembeli. Tolong respon keluhan pengguna",1,1,2025-05-28 15:18:47
Supri Adi,Bagus aplikasi belanja di Tokopedia ini banyakin COD nya biar transaksi gampang kalau ga punya uang electronik,5,0,2025-05-28 14:53:01
Shop91dimronseller Seller,baru Mencobai,5,0,2025-05-28 14:44:10
DARK SAINT,maaf tokopedia untuk sekarang saya hapus. menu COD nya ribet tidak seperti aplikasi sebelah.. bikin yang simple saja menu COD nya. terima kasih.,1,1,2025-05-28 14:29:01
Siti maya Sari,💙,5,0,2025-05-28 14:26:18
yudi wahyudi,"gabung dengan tiktok shop potongannya makin ga masuk akal, sementara ga pernah ikut program apa2 sama sekali...",1,451,2025-05-28 14:16:54
djoko ariyanto,saldo Refund saya masih di Tahan di tokopedia...sudah menunggu 2×24jam tidak.di transfer,1,1,2025-05-28 13:44:20
Salma Naqiya,tokopedia sekarang 👎,1,2,2025-05-28 13:29:18
Kurniawansyah,jaminan tepat.. estimasi penerimaan bisa berubah jadi nambah harinya,1,2,2025-05-28 13:17:17
dimas adiarto,"Kenapa produk habis masih di tampilkan,",2,0,2025-05-28 13:05:34
Theresia Novianti,👌,5,0,2025-05-28 13:03:16
eriq hidayat,baik cepat mudah,4,0,2025-05-28 12:34:12
Yulinda Ndut,"dulu sih ok, tp mulai th 2025 ini barang sering dibatalkan otomatis karna tidak dikirim oleh seller. sia sia vouchernya kalo barang selalu dibatalkan.",1,1,2025-05-28 12:16:07
Alona Brian,"toko pedia luar biasa mantul,belanja nyaman harga pas di kantong",5,1,2025-05-28 12:10:06
ferry mardian,Nice... good jobs👍👌🤝,5,6,2025-05-28 12:09:27
Furqon Salam,parah banget sya dapat kupon 250 rb tp syarat nya haru pesen barang dulu eh giliran barang nya udah nyampe gak ada tuh kupon 250 rb nya,1,1,2025-05-28 12:07:20
Daniel April,Kenapa jadi gini sih tokped..... Parah sumpah,1,2,2025-05-28 11:38:59
eri Saputra,good,5,0,2025-05-28 11:37:46
Theo Sudarja,1. Setiap kembali ke halaman sebelumnya musti Muat Ulang Halaman. Versi jaman dulu ga gitu deh. Versi iOS masih betul saat pencet kembali ke halaman sebelumnya langsung tampil di barang hasil pencarian terakhir tanpa muat ulang. 2. Jaman dulu barang di keranjang jika berlebih otomatis masuk wishlist. Sekarang ga ada fiturnya. Wishlist jumlah maksimal dibuat hapus otomatis aja dari yang terlama. Ga perlu klik minta hapus.,2,21,2025-05-28 11:18:52
Autumns Leaf,masa ngk bisa liat berat produk di websitenya males banget,1,1,2025-05-28 11:12:46
Zulkifli Ismed,"sebaiknya orderan yg tdk dikirim 1 x 24 jam harus batal otomatis, saya punya pengalaman orderan saya 5 hari baru dikirim itu pun setelah saya komplain dan rencana batalkan orderan (yg ditolak oleh seller), atau kalau lewat 1 x 24 jam belum dikirim mohon pembatalan gak perlu persetujuan seller, mohon konsumen juga diperhatikan",5,107,2025-05-28 10:55:58
Mokhammad Aunur rozi,"penanganan masalah customer sangat lama,chat tidak dibalas.tak cari barang di tempat lain aja.",1,2,2025-05-28 10:33:46
Putri eka febrianti,ko ga bisa aktivasi ke ovo iya .tolong bantuannya dong,5,0,2025-05-28 10:32:14
M. Sofyan Affandi,makin kesini makin aneh aja tokped nyediain diskon tapi giliran mau CO gk bisa pdhal sehari blum CO apapun,1,1,2025-05-28 10:31:12
Miftakhudin Arya,is the best market,5,0,2025-05-28 10:04:33
Kamdani,mantap tokopedia kuota banyak promonya,5,0,2025-05-28 09:52:42
Muhammad Rayhan Pratama,Bikin iklan kok pakai tombol X palsu,1,1,2025-05-28 09:44:40
Alupoi,"gratis ongkir sih dibatasi, tapi jangan dihapus juga",3,0,2025-05-28 09:44:12
Muhammad Fauzi,Sekarang pengirimannya lama...enK pake shopee cepat pAke kurir sendiri..di tambah pemngembalian barang yang rusak ongkir di tanggung pembeli..tidak gtlratis ongkir,1,1,2025-05-28 09:39:35
Cintya Amelia,"sangat bagus , DISKON NYA BANYAK",5,0,2025-05-28 09:39:01
Adi Gembul,"kacau aplikasi ini, sering error & UI berubah2 terus setelah update, bikin gak nyaman... makin hari makin sampah...",1,10,2025-05-28 09:29:08
harie buledd,baik,5,0,2025-05-28 09:26:46
achmad akbar,menu penilaian kurang gak ada salahnya disamping inovasi ambil kelebihan online shop yg lain buang yg jelek,4,0,2025-05-28 09:25:32
Tommy Trimari Lumbantoruan,Hadianya di realisasikan,5,0,2025-05-28 09:01:31
08 Dewa Dani,"Saya udah tuker code reedem di tokopedia gift card buat dapet gopay coin, tapi saldonya tidak masuk ke saldo gopay coin saya. Sudah saya hubungi customer service tapi tidak ada jawaban, tolong tindak secepatnya dan kembalikan UANG SAYA!!!",1,1,2025-05-28 08:54:51
Fazlur Rahman Fadilah,Yea yea yea,5,0,2025-05-28 08:52:25
Leo Tin,"JANGAN ADA YANG DOWNLOAD APLIKASI TOKOPEDIA JANGAN ADA YANG CHECKOUT DI TOKOPEDIA, SAYA UDAH NUNGGU 3 HARI SALDO REFUND SAMPE SEKARANG BELOM MASUK KE REKENING DENGAN NOMINAL 7JTA, PIHAK TOKOPEDIA TIDAK ADA TANGGAPAN NYA SAMA SEKALI, SAYA CUMA MINTA HAK SAYA KEMBALI SAYA CUMA MINTA UANG SAYA KEMBALI TAPI SAMA PIHAK TOKOPEDIA DI PERLAMBAT DAN DI PERSULIT",1,0,2025-05-28 08:37:04
Agus Hendra,pokoknya tokopedia mantap,5,0,2025-05-28 08:26:51
Dee Bonita,"service nya bagus, belanja dibatalkan penjual uang kembali ke saldo. jadi aman dan nyaman",5,0,2025-05-28 08:12:28
Sukarman Jafar,"diksih 3 bintang dulu, baru pertama uji coba, moga amanah, terpercaya,",3,0,2025-05-28 07:58:19
Nyungsep Bandar,"dulu...duluuuu...dulluuuuu toped menjadi marketplace favorit saya untuk berbelanja karena bebas ongkir dan diskon nya tapi sekarang toped sudah pelit alias Ongkir nya pake syarat yang ribet dan diskon sudah jarang bahkan gak ada. sekarang shoppe yang bebas ongkir dan diskon nya mantap, maka nya saya sudah jarang bahkan berbulan bulan tidak make toped untuk berbelanja karena",1,0,2025-05-28 07:45:48
Ikhsan Fadilah,"Cabut dulu beli2 di tokped, karena lelet banget, gambar hasil pencarian pecah, pencarian tidak ditemukan. Tolong diperbaiki min. Tq.",2,0,2025-05-28 07:28:24
Sinyo Humbolt,Update melulu.... updatenya selalu minta hapus aplikasi lain dgn alasan memori ga cukup. Padahal di hpku tinggal ada 2 aplikasi ringan. Ga bisa apa bikin update-an yg ga minta nambah memori. Lama2 gw buang juga nih tokped.,3,0,2025-05-28 07:03:08
FAdli RaM,bagus,3,0,2025-05-28 06:41:55
MS STORE BEKASI,good,5,0,2025-05-28 06:29:33
Zahra Dian,"ada apa lagi ini ,buka product putih ga nongol tuh halaman product ,paketan wifi kenceng , aplikasi makin ga jelas aja ,sebelah lancar mudah ,dibikin gampang ngapah org mau blanja..",1,0,2025-05-28 06:00:41
Saprudin Udin,"sekarang makin tidak jelas udh batal otomatis tp uang belum d kembalikan,,",1,0,2025-05-28 05:29:12
Rizki Arief Maulana,"Mau Verifikasi data diri Pakai KTP dan Scan Wajah kok Susah, Minta bantu Verifikasi Manual Customer Service Ga jawab, menu ngereport toko sampah malah loading Mulu Luh Top up E-money Saldo belum masuk juga, harga setelah di keranjang beda, dan lebih mahal",1,0,2025-05-28 05:03:09
Zuhdi Amin,"yuk berbenah lagi di pengiriman, khususnya ekpedisi IDX paket tidak dikirim² padahal udah di kota tujuan",2,0,2025-05-28 04:33:02
irwansyah bram,"lemahnya perlindungan terhadap pesanan konsumen, stock kosong tetapi dietalase tersedia, pengiriman lama banget.",1,0,2025-05-28 04:26:19
awan hitam,"emang bangsat ini aplikasi , login aplikasi minta update, cari barang minta update, klik barang minta update, giliran diupdate kgk bisa jancokkk",1,2,2025-05-28 02:26:05
Aan aditya Jayamurti,baik,5,0,2025-05-28 01:59:15
meTro sili,Gk Rekomendasi blas.,1,1,2025-05-28 01:43:41
Fardan Antoni,"good n nice, gue langganan di apk ini dan ga pernah minus barang sama sekali, tapi gue kasih rating 4 karena banyak iklan ni apk muncul",4,0,2025-05-28 00:30:53
alpiaaj,bagus banget belanja di tokopedia banyak diskon dan voucher gratis ongkir👍,5,0,2025-05-28 00:13:14
REKSA LINGGA,"Pasang foto profile aja di batesi ukuran ribet banget, tambahin kek di kodingannya, padahal e-commerce gede tapi minim banget fitur",1,0,2025-05-28 00:12:17
nay La,banyak diskon suukaa bangeett membantu banget aplikasi tokopedia inii sukaa🥰🥰,5,0,2025-05-28 00:08:42
Andre Seno,top dah pokonya,5,0,2025-05-28 00:08:21
Syarif Fajarudin,"Sekarang kok Ga nyaman belanja di toped yg baru, ga kaya dulu.. terbukti banyak komplin dari pelanggan kasih bintang 1, apakah tanda2 toped mau menyusul BL? entahlah..",1,1,2025-05-27 23:53:14
Durohtul Zana,"penipuannya banyak, masa beli minyak datengnya casing HP payah",1,0,2025-05-27 23:40:40
FaridCraft Official,"PLIS BANG!!! 😭😭 DENGERIN GUA DAN TOPPERS LAINYA😭😭... NOTIF SPAM LU GANGGU, TAPI GW MUSTI AKTIFIN NOTIF BUAT CEK STATUS PAKET GUE 😭😭😭... PLISS GAUSAH SPAM PRODUK RANDOM YANG GW CEK DARI TOKO ATO DISKON² SIANG BOLONG 😭😭😭 BERISIK ANYIINKKK 😭😭😭😭😭😭",1,0,2025-05-27 23:20:00
Alif Satria Y,"Kembalikan UI ke yang dulu, UI sekarang terlalu padat kebanyakan teks, dan tampilan harga juga tidak sesuai jadi membingungkan.",2,0,2025-05-27 23:16:05
MUHAMMAD TOMMY RUDI A Tommy,"mantap dan membatu semua orang, sukses selalu",5,0,2025-05-27 22:53:44
Asfara 02,bagus. murah banyak diskon nya. tapi lebih baik lagi kalau ada data nama dan nomer hp Kurir.,5,0,2025-05-27 22:45:32
Lare Nggunung,mudah untuk belanja online semua kebutuhan sehari-hari,5,0,2025-05-27 22:38:39
wahyu widi,Nice Bro...,5,0,2025-05-27 22:20:37
Abdul Ali,iklanya nongol terus. payah,1,0,2025-05-27 22:10:17
Misbah Tea,Luar biasa sangat membantu.,5,0,2025-05-27 22:05:46
Taufik Hidayat,Ok dan mantab,5,0,2025-05-27 21:57:14
Setiadi Zainal,saatnya pindah ke toko sebelah,1,1,2025-05-27 21:48:55
Anjar Witi,harga2 murah & bnyk diskony.. trmksih bnyk y tokped.,5,0,2025-05-27 21:45:27
Hulili Helmi,"jangan deh pake GTL walau FREE ,",1,0,2025-05-27 21:41:27
reza pratama,"batas waktu proses pesanan oleh penjual terlalu lama. kalo penjualnya lama, barang yang sampe juga jadi lebih lama. padahal butuh cepet. pembatalan order berbelit. padahal butuh cepet. paling lambat di banding kompetitor nya",1,1,2025-05-27 20:49:55
Saiful Anam,luar biasa cepat proses nya,5,0,2025-05-27 20:31:13
Shinta Purnama,bagus lebih di tingkatin promonya,5,0,2025-05-27 20:24:08
Jaenal Arifin Arifin,mantap tokpad,5,0,2025-05-27 20:21:25
Jejen Jaenudin,semoga bagus,5,0,2025-05-27 20:21:08
Nana Ia,icon aplikasi nya hampir sama kek icon aplikasi belajar bahasa asing sering di isengin juga admin nya di aplikasi item putih wkwk tapi kalo soal pengiriman ini aplikasi best deh,5,0,2025-05-27 20:19:38
Nur Ipan,tokopedia banyak promo dan juga gratis ongkir,5,0,2025-05-27 20:18:13
chefeteng bawolesandala,mantap,5,0,2025-05-27 20:17:14
Avie Anasiyya,"bagus tapi kok waktu udah beli, nggak ada notif di pilihan barang dikemas atau lagi di pengiriman",4,0,2025-05-27 20:15:51
Bent Kipli,"order mggu sttus pgriman g brbh msih maklum libur,snin sttus pgriman menunggu kurir smpai slsa msh aj nunggu kurir sttusny....hdeeh prah bget lemotny.hr ini tgl 27 mei jm 14.32 psn lwt toko oren jm 18.59 sdh dpick up kurir.kota asal sm tjuan sm wkt order beda.",1,0,2025-05-27 20:03:01
ridwan,"mohon maaf untuk seller nya tolong di perbaiki,banyak yg slow respon dan terkadang produk yang di pesan tidak sesuai pesanan.tolong di tingkatkan lagi kepuasan pembeli jgn pelihara seller yg lama proses nya",2,1,2025-05-27 19:59:28
Theodorus Westreenen,make an easy gaess..,5,0,2025-05-27 19:57:42
lutfi mebel,kok di hp saya gak ada pembayaran dana ya? padahal mau belanja lewat dana,5,0,2025-05-27 19:56:42
Rezky Rasendria,untuk kedepannya lebih murah lagi ok,4,0,2025-05-27 19:55:50
Firrta,aplikasi tlol semenjak di update gada pembatalan pesanan beda dengan shope,1,0,2025-05-27 19:45:19
ADI Smjtk,Bagus utk jualan online.,5,0,2025-05-27 19:43:59
Sumi Ati,gooood,5,0,2025-05-27 19:42:36
agung jaya,aplikasi selalu update tapi keamananya masih payah masih bisa di bobol,1,0,2025-05-27 19:38:49
Muhammad Faris,di klik malah ga muncul apa apa,1,1,2025-05-27 19:38:00
Zaidan Nafis Muttaqin,"aplikasi cacat banyak bug, dari dulu ga pernah ada perkembangan kaya ga keurus",1,0,2025-05-27 19:34:23
Mas Yayan Official,"Diskonnya Makin Pelit,",1,0,2025-05-27 19:22:50
Gaga Prakaa,bagus,5,0,2025-05-27 19:21:39
Jb Kl,Mau komunikasi saya csnya aja ribetnya minta apun,1,1,2025-05-27 19:04:45
Lana Fatih,banyak promo,5,0,2025-05-27 19:03:36
Dede Fathu,"dari smua platpom onlen shop cuma tokopedia yg pmbliannya lemot dalam pengiriman, yg sya heran tiktok cpt bngt pdhal ini s tokped gbung sama tiktok tpi pngriman cpetan tiktok, KLO BISA NI TOKPED KURIR JNGAN PKE JNE JNE expedisi paling lemot taun² ini hapus aja tu JNE sialan",1,0,2025-05-27 18:51:17
Widi Winantono (Recho),"belum coba, sdh lama gk transaksi next time so pasti. terimakasih Toped.",5,0,2025-05-27 18:46:54
fai syifai,lumayan tambah 1 bintang lagi naikkan performanya basmi semua bug. masih kebanyakan pop up bikin agak lelet.,4,1,2025-05-27 18:31:28
Saipul Rohman,Pantes banyak yang ambil alih wkkwkw. diskona nya kaga ada sama sekali wkwkw . kalah sama sebelah diskon nya joss bunga kecil lagi. ini mah apa wkwkw . Ga heran kalo udh begini 😅 udah gitu ada voucher gopaylater gabisa dipake . kan tolol. lucu sekali aplikasinya wkwkwk,1,0,2025-05-27 18:22:17
zidan oikiji,"klo pake bonus kok, malah harganya jd lbh tinggi dr harga awal ya,, apa ni cuma marketing doang pa gimana,,",5,0,2025-05-27 18:18:34
Vivo S,"tolong itu CS nya di kasih yg manusia jangan robot ga ada feed back nya.!!!! sudah komplainya, ongkir juga dari beli barang sampai balikin barang yg nanggung ongkir pembeli ,contoh aja si oren, onggkirnya gratis , CS ada feedbacknya",1,1,2025-05-27 17:53:16
Vheryda Morgan,"ongkirnya sekarang lebih murah,ke kutai barat aja ada ongkir 6000,,jadi lebih suka belanja di toko pedia,walaupun gak ada yang COD v tetap aman.",5,0,2025-05-27 17:17:19
Wahyu Saputro,sangat membantu,5,0,2025-05-27 16:45:16
071_Bayu Wipradnyana,"Pada toko tidak ada tulisan stok habis tapi di hari terakhir pada pemrosesan barang tiba tiba toko mengatakan bahwa stok habis, harusnya terdapat kompensasi untuk costumer dan denda untuk toko karena telah menyia-nyiakan waktu customer",1,0,2025-05-27 16:44:33
Febri Ansa,ok lh,5,0,2025-05-27 16:41:47
Harry A.,"Kenapa pilihan ajukan pembatalan, tidak ada pilihan stok kosong pada seller (sering kali produk kosong, masih tetap dipampang produk nya).",3,1,2025-05-27 16:14:19
Nendi Susendi,sangat mudah untuk mendapatkan produk di tokopedia.sangat membantu sekali untuk belanja online,5,1,2025-05-27 16:14:10
Ahmad Ahmad,ok bgus,5,0,2025-05-27 16:10:39
William Dhamma (WiLaxus),"tokopedia mulai error lagi ini! udahlah status online di chat room dihilangkan, pengin mengubah template aja sering error terus! mencari barang di 1 toko, halamannya gak menampilkan barangnya langsung (kalau dicari manual sih ada, hanya aja membuang buang waktu)",1,183,2025-05-27 15:56:53
Ahmad Awaludin,saya beli barang di toko mochi retail..yang di iklankan apa yang di kirim apa? sudah saya retur dan di setujui oleh penjual..tapi sampai saat ini tidak ada itikad baik dari penjual untuk barang pengganti dan saya sudah menghubungi Tokopedia care tapi ga membantu yang di jawab itu itu aja..sampai saat ini barang pengganti blm juga ada dan pengembalian dana jasa pengiriman expedisi yang di tanggung pembeli juga tidak ada..hello...ini namanya apa ya?,1,0,2025-05-27 15:56:26
Junaidi,aku coba dulu pakai Tokopedia.. siapa tau cocok,5,0,2025-05-27 15:55:19
Raisa Aja,makin lelet 👎,2,0,2025-05-27 15:50:03
Firza Sazena,"kok gak bisa chek out , ada kendala terus nih keterangannya !!!!",1,0,2025-05-27 15:41:33
