userName,review,score,thumbsUpCount,at,clean_review,content_normalized,content_tokenizing,content_filtering,content_stemming
Sam Suu,pelapasan dana ke dompet pejual aanvat 7 terlalu sadis menahan saldo penjual meakipun ada orderan males mau melayani pesanan,1,1,2025-05-25 14:06:05,pelapasan dana ke dompet pejual aanvat  terlalu sadis menahan saldo penjual meakipun ada orderan males mau melayani pesanan,pelapasan dana ke dompet pejual aanvat terlalu sadis menahan saldo penjual meakipun ada orderan males mau melayani pesanan,"['pelapasan', 'dana', 'ke', 'dompet', 'pejual', 'aanvat', 'terlalu', 'sadis', 'menahan', 'saldo', 'penjual', 'meakipun', 'ada', 'orderan', 'males', 'mau', 'melayani', 'pesanan']",pelapasan dana dompet pejual aanvat sadis menahan saldo penjual meakipun orderan males melayani pesanan,pelapasan dana dompet jual aanvat sadis tahan saldo jual meakipun order males layan pesan
Nugroho Azis,BURUK SEKALI KLAIM ASURANSI PEGIRIMAN DARI TGL 02 KEI 2025 BELUM DI PROSES JUGA LAMBAT DAN BERTELE-TELE PIHAK TOKOPEDIA INI. SUDAH LAPOR KE TOKIO JUGA SBG ASURANSI TOKOPEDIA TERNYATA DISANA TIDAK ADA LAPORANNYA. BURUK SEKALI PELAYANAN KALIAN. APABILA INGIN MEMPERBAIKI CITRA KALIAN BISA HUBUNGI AKUN TOKOPEDIA SAYA NUGROHO AZIS WAHYU PRASETYO,1,1,2025-05-25 14:00:48,buruk sekali klaim asuransi pegiriman dari tgl belum di proses juga lambat dan bertele-tele pihak tokopedia ini sudah lapor ke tokio juga sbg asuransi tokopedia ternyata disana tidak ada laporannya buruk sekali pelayanan kalian apabila ingin memperbaiki citra kalian bisa hubungi akun tokopedia saya nugroho azis wahyu prasetyo,buruk sekali klaim asuransi pegiriman dari tgl belum di proses juga lambat dan bertele-tele pihak tokopedia ini sudah lapor ke tokio juga sbg asuransi tokopedia ternyata disana tidak ada laporannya buruk sekali pelayanan kalian apabila ingin memperbaiki citra kalian bisa hubungi akun tokopedia saya nugroho azis wahyu prasetyo,"['buruk', 'sekali', 'klaim', 'asuransi', 'pegiriman', 'dari', 'tgl', 'belum', 'di', 'proses', 'juga', 'lambat', 'dan', 'bertele-tele', 'pihak', 'tokopedia', 'ini', 'sudah', 'lapor', 'ke', 'tokio', 'juga', 'sbg', 'asuransi', 'tokopedia', 'ternyata', 'disana', 'tidak', 'ada', 'laporannya', 'buruk', 'sekali', 'pelayanan', 'kalian', 'apabila', 'ingin', 'memperbaiki', 'citra', 'kalian', 'bisa', 'hubungi', 'akun', 'tokopedia', 'saya', 'nugroho', 'azis', 'wahyu', 'prasetyo']",buruk klaim asuransi pegiriman tgl proses lambat bertele-tele tokopedia lapor tokio sbg asuransi tokopedia disana laporannya buruk pelayanan memperbaiki citra hubungi akun tokopedia nugroho azis wahyu prasetyo,buruk klaim asuransi pegiriman tgl proses lambat tele tokopedia lapor tokio sbg asuransi tokopedia sana lapor buruk layan baik citra hubung akun tokopedia nugroho azis wahyu prasetyo
Agus Mufid,gada gratis ongkirnya,2,2,2025-05-25 13:55:06,gada gratis ongkirnya,gada gratis ongkirnya,"['gada', 'gratis', 'ongkirnya']",gada gratis ongkirnya,gada gratis ongkirnya
Farhan,iklan lu nyebelin sumpah,2,1,2025-05-25 13:54:08,iklan lu nyebelin sumpah,iklan lu nyebelin sumpah,"['iklan', 'lu', 'nyebelin', 'sumpah']",iklan lu nyebelin sumpah,iklan lu nyebelin sumpah
Muhammad Nabil,"buruk tidak sesuai, barang lama datang",1,1,2025-05-25 13:52:41,buruk tidak sesuai barang lama datang,buruk tidak sesuai barang lama datang,"['buruk', 'tidak', 'sesuai', 'barang', 'lama', 'datang']",buruk sesuai barang,buruk sesuai barang
agus tinus,"ini saya turun bintang karna cs'a lama, baru tau di aplikasi ini pembatalan bulan dari pembeli kena potongan hati2 bli di tokped pembelian kena biaya layanan , pembatalan kena biaya layanan meskipun yg batalin bukan pembeli sungguh apa2 hanya duit2",2,1,2025-05-25 13:31:43,ini saya turun bintang karna cs'a lama baru tau di aplikasi ini pembatalan bulan dari pembeli kena potongan hati bli di tokped pembelian kena biaya layanan  pembatalan kena biaya layanan meskipun yg batalin bukan pembeli sungguh apa hanya duit,ini saya turun bintang karna cs'a lama baru tau di aplikasi ini pembatalan bulan dari pembeli kena potongan hati bli di tokped pembelian kena biaya layanan pembatalan kena biaya layanan meskipun yg batalin bukan pembeli sungguh apa hanya duit,"['ini', 'saya', 'turun', 'bintang', 'karna', 'cs', ""'"", 'a', 'lama', 'baru', 'tau', 'di', 'aplikasi', 'ini', 'pembatalan', 'bulan', 'dari', 'pembeli', 'kena', 'potongan', 'hati', 'bli', 'di', 'tokped', 'pembelian', 'kena', 'biaya', 'layanan', 'pembatalan', 'kena', 'biaya', 'layanan', 'meskipun', 'yg', 'batalin', 'bukan', 'pembeli', 'sungguh', 'apa', 'hanya', 'duit']",turun bintang karna cs ' a tau aplikasi pembatalan pembeli kena potongan hati bli tokped pembelian kena biaya layanan pembatalan kena biaya layanan yg batalin pembeli sungguh duit,turun bintang karna cs a tau aplikasi batal beli kena potong hati bli tokped beli kena biaya layan batal kena biaya layan yg batalin beli sungguh duit
Suhar,"tolong di perbaiki appsnya, skarang banyak banget toko yg kasih harga murah tapi pas MW checkout kagak bisa tulisan error. jadi kayak kesannya dimanfaatin buat iklan gratis .. 🤣🤣🤣. sering kejebak Mulu Ampe stress gw pake nih apps. sementara pindah shopee dulu lah.",3,17,2025-05-25 12:25:30,tolong di peaiki appsnya skarang banyak banget toko yg kasih harga murah tapi pas mw checkout kagak bisa tulisan error jadi kayak kesannya dimanfaatin buat iklan gratis  🤣🤣🤣 sering kejebak mulu ampe stress gw pake nih apps sementara pindah shopee dulu lah,tolong di peaiki appsnya skarang banyak banget toko yg kasih harga murah tapi pas mw checkout kagak bisa tulisan error jadi kayak kesannya dimanfaatin buat iklan gratis 🤣🤣🤣 sering kejebak mulu ampe stress gw pake nih apps sementara pindah shopee dulu lah,"['tolong', 'di', 'peaiki', 'appsnya', 'skarang', 'banyak', 'banget', 'toko', 'yg', 'kasih', 'harga', 'murah', 'tapi', 'pas', 'mw', 'checkout', 'kagak', 'bisa', 'tulisan', 'error', 'jadi', 'kayak', 'kesannya', 'dimanfaatin', 'buat', 'iklan', 'gratis', '🤣🤣🤣', 'sering', 'kejebak', 'mulu', 'ampe', 'stress', 'gw', 'pake', 'nih', 'apps', 'sementara', 'pindah', 'shopee', 'dulu', 'lah']",tolong peaiki appsnya skarang banget toko yg kasih harga murah pas mw checkout kagak tulisan error kayak kesannya dimanfaatin iklan gratis 🤣🤣🤣 kejebak mulu ampe stress gw pake nih apps pindah shopee,tolong peaiki appsnya skarang banget toko yg kasih harga murah pas mw checkout kagak tulis error kayak kesan dimanfaatin iklan gratis jebak mulu ampe stress gw pake nih apps pindah shopee
Achmad Apriyudin,toko online termahal se-Indonesia,1,1,2025-05-25 12:09:24,toko online termahal se-indonesia,toko online termahal se-indonesia,"['toko', 'online', 'termahal', 'se-indonesia']",toko online termahal se-indonesia,toko online mahal se-indonesia
Saepul Akbar,mohon untuk pihak toko pedia saya tidak pernah menggunakan aplikasi tokopedia dan saya tidak pernah melakukan transaksi apaun di aplikasi tapi tiba2 saya WA notifikasi kode verifikasi padahal sy tidak menggunakan aplikasi ini mohon apabila ada hal2 diluar kendali saya saya tidak pernah memakai aplikasi ini terima kasih,5,1,2025-05-25 12:03:45,mohon untuk pihak toko pedia saya tidak pernah menggunakan aplikasi tokopedia dan saya tidak pernah melakukan transaksi apaun di aplikasi tapi tiba saya wa notifikasi kode verifikasi padahal sy tidak menggunakan aplikasi ini mohon apabila ada hal diluar kendali saya saya tidak pernah memakai aplikasi ini terima kasih,mohon untuk pihak toko pedia saya tidak pernah menggunakan aplikasi tokopedia dan saya tidak pernah melakukan transaksi apaun di aplikasi tapi tiba saya wa notifikasi kode verifikasi padahal sy tidak menggunakan aplikasi ini mohon apabila ada hal diluar kendali saya saya tidak pernah memakai aplikasi ini terima kasih,"['mohon', 'untuk', 'pihak', 'toko', 'pedia', 'saya', 'tidak', 'pernah', 'menggunakan', 'aplikasi', 'tokopedia', 'dan', 'saya', 'tidak', 'pernah', 'melakukan', 'transaksi', 'apaun', 'di', 'aplikasi', 'tapi', 'tiba', 'saya', 'wa', 'notifikasi', 'kode', 'verifikasi', 'padahal', 'sy', 'tidak', 'menggunakan', 'aplikasi', 'ini', 'mohon', 'apabila', 'ada', 'hal', 'diluar', 'kendali', 'saya', 'saya', 'tidak', 'pernah', 'memakai', 'aplikasi', 'ini', 'terima', 'kasih']",mohon toko pedia aplikasi tokopedia transaksi apaun aplikasi wa notifikasi kode verifikasi sy aplikasi mohon diluar kendali memakai aplikasi terima kasih,mohon toko dia aplikasi tokopedia transaksi apaun aplikasi wa notifikasi kode verifikasi sy aplikasi mohon luar kendali pakai aplikasi terima kasih
muhammad gilang,"makin lama promonya semakin sedikit, gak ada gratis ongkir, dulu selalu pake tokopedia. sekarang udah pindah ke ecommerce seblah",2,2,2025-05-25 11:14:57,makin lama promonya semakin sedikit gak ada gratis ongkir dulu selalu pake tokopedia sekarang udah pindah ke ecommerce seblah,makin lama promonya semakin sedikit tidak ada gratis ongkir dulu selalu pake tokopedia sekarang sudah pindah ke ecommerce seblah,"['makin', 'lama', 'promonya', 'semakin', 'sedikit', 'tidak', 'ada', 'gratis', 'ongkir', 'dulu', 'selalu', 'pake', 'tokopedia', 'sekarang', 'sudah', 'pindah', 'ke', 'ecommerce', 'seblah']",promonya gratis ongkir pake tokopedia pindah ecommerce seblah,promonya gratis ongkir pake tokopedia pindah ecommerce seblah
Lampu Hoki89,GA JELAS. UDA ENAK2 TOKOPEDIA MALAH MERGER SAMA TIKTOK. UDA MAKIN AMPAS INI TOKPED. JAUH BGT SAMA SHOPEE.,1,1,2025-05-25 09:58:50,ga jelas uda enak tokopedia malah merger sama tiktok uda makin ampas ini tokped jauh bgt sama shopee,tidak jelas uda enak tokopedia malah merger sama tiktok uda makin ampas ini tokped jauh banget sama shopee,"['tidak', 'jelas', 'uda', 'enak', 'tokopedia', 'malah', 'merger', 'sama', 'tiktok', 'uda', 'makin', 'ampas', 'ini', 'tokped', 'jauh', 'banget', 'sama', 'shopee']",uda enak tokopedia merger tiktok uda ampas tokped banget shopee,uda enak tokopedia merger tiktok uda ampas tokped banget shopee
Wawan Elektronik Genteng,pembatalan pesanan terlalu terbelit belit padahal sudah terbukti penjual tidak aktif mestinya harus nunggu berapa hari baru bisa di kembalikan uang kita berbeda dengan apk belanja lain yang penting bukti nyata cepat prosesnya,4,1,2025-05-25 09:56:01,pembatalan pesanan terlalu teelit belit padahal sudah teukti penjual tidak aktif mestinya harus nunggu berapa  baru bisa di kembalikan uang kita beeda dengan apk belanja lain yang penting bukti nyata cepat prosesnya,pembatalan pesanan terlalu teelit belit padahal sudah teukti penjual tidak aktif mestinya harus nunggu berapa baru bisa di kembalikan uang kita beeda dengan apk belanja lain yang penting bukti nyata cepat prosesnya,"['pembatalan', 'pesanan', 'terlalu', 'teelit', 'belit', 'padahal', 'sudah', 'teukti', 'penjual', 'tidak', 'aktif', 'mestinya', 'harus', 'nunggu', 'berapa', 'baru', 'bisa', 'di', 'kembalikan', 'uang', 'kita', 'beeda', 'dengan', 'apk', 'belanja', 'lain', 'yang', 'penting', 'bukti', 'nyata', 'cepat', 'prosesnya']",pembatalan pesanan teelit belit teukti penjual aktif mestinya nunggu kembalikan uang beeda apk belanja bukti nyata cepat prosesnya,batal pesan teelit belit teukti jual aktif mesti nunggu kembali uang beeda apk belanja bukti nyata cepat proses
Muh Hayat,"Pelayanan tokopedia sekarang ini mei 2025 mengerikan, 3 kali transaksi saya d LMJ Motor Parts di bulan mei 2025 itu di batalkan terus oleh sistem begitu bahasanya dan solusi yg di gunakan adalah kembali dana tapi sangat ironis krn dana yg kembali cuma nilai dari barang tersebut dan ongkir yg saya bayarkan tadi mati sia sia padahal pesanan masih berada di wilayah si pengirim/belum di kirim, ini pengalaman yg buruk buat saya 3 kali di rugikan dari pelayanan tokopedia",1,87,2025-05-25 09:53:32,pelayanan tokopedia sekarang ini mei  mengerikan  kali transaksi saya d lmj motor parts di bulan mei  itu di batalkan terus oleh sistem begitu bahasanya dan solusi yg di gunakan adalah kembali dana tapi sangat ironis krn dana yg kembali cuma nilai dari barang tersebut dan ongkir yg saya bayarkan tadi mati sia sia padahal pesanan masih berada di wilayah si  di kirim ini pengalaman yg buruk buat saya  kali di rugikan dari pelayanan tokopedia,pelayanan tokopedia sekarang ini mei mengerikan kali transaksi saya d lmj motor parts di bulan mei itu di batalkan terus oleh sistem begitu bahasanya dan solusi yg di gunakan adalah kembali dana tapi sangat ironis krn dana yg kembali cuma nilai dari barang tersebut dan ongkir yg saya bayarkan tadi mati sia sia padahal pesanan masih berada di wilayah si di kirim ini pengalaman yg buruk buat saya kali di rugikan dari pelayanan tokopedia,"['pelayanan', 'tokopedia', 'sekarang', 'ini', 'mei', 'mengerikan', 'kali', 'transaksi', 'saya', 'd', 'lmj', 'motor', 'parts', 'di', 'bulan', 'mei', 'itu', 'di', 'batalkan', 'terus', 'oleh', 'sistem', 'begitu', 'bahasanya', 'dan', 'solusi', 'yg', 'di', 'gunakan', 'adalah', 'kembali', 'dana', 'tapi', 'sangat', 'ironis', 'krn', 'dana', 'yg', 'kembali', 'cuma', 'nilai', 'dari', 'barang', 'tersebut', 'dan', 'ongkir', 'yg', 'saya', 'bayarkan', 'tadi', 'mati', 'sia', 'sia', 'padahal', 'pesanan', 'masih', 'berada', 'di', 'wilayah', 'si', 'di', 'kirim', 'ini', 'pengalaman', 'yg', 'buruk', 'buat', 'saya', 'kali', 'di', 'rugikan', 'dari', 'pelayanan', 'tokopedia']",pelayanan tokopedia mei mengerikan kali transaksi d lmj motor parts mei batalkan sistem bahasanya solusi yg dana ironis krn dana yg nilai barang ongkir yg bayarkan mati sia sia pesanan wilayah si kirim pengalaman yg buruk kali rugikan pelayanan tokopedia,layan tokopedia mei keri kali transaksi d lmj motor parts mei batal sistem bahasa solusi yg dana ironis krn dana yg nilai barang ongkir yg bayar mati sia sia pesan wilayah si kirim alam yg buruk kali rugi layan tokopedia
Budi Hadi Suprayitno,Pengajuan pembatalan harus disetujui seller.sedangkan seller tidak responsif,1,1,2025-05-25 09:45:47,pengajuan pembatalan harus disetujui sellersedangkan seller tidak responsif,pengajuan pembatalan harus disetujui sellersedangkan seller tidak responsif,"['pengajuan', 'pembatalan', 'harus', 'disetujui', 'sellersedangkan', 'seller', 'tidak', 'responsif']",pengajuan pembatalan disetujui sellersedangkan seller responsif,aju batal tuju sellersedangkan seller responsif
Reynolds Panjaitan,Semakin update aplikasi semakin ribet. semua dagangan mau ditaruh didepan. sedangkan status dan histrory transaksi dibelakang. merasa Tidak penting kenyamanan pengguna.,1,2,2025-05-25 09:41:52,semakin update aplikasi semakin ribet semua dagangan mau ditaruh didepan sedangkan status dan histrory transaksi dibelakang merasa tidak penting kenyamanan pengguna,semakin update aplikasi semakin ribet semua dagangan mau ditaruh didepan sedangkan status dan histrory transaksi dibelakang merasa tidak penting kenyamanan pengguna,"['semakin', 'update', 'aplikasi', 'semakin', 'ribet', 'semua', 'dagangan', 'mau', 'ditaruh', 'didepan', 'sedangkan', 'status', 'dan', 'histrory', 'transaksi', 'dibelakang', 'merasa', 'tidak', 'penting', 'kenyamanan', 'pengguna']",update aplikasi ribet dagangan ditaruh didepan status histrory transaksi dibelakang kenyamanan pengguna,update aplikasi ribet dagang taruh depan status histrory transaksi belakang nyaman guna
samudra nugraha,"hati hati akun tokopedia saya diretas & keamanan tokopedia sangat buruk, akun saya email, nomer hp, dan pin tokopedia diganti oleh peretas tanpa adanya otp ke email maupun sms. parahnya lagi sudah saya email ke tokopedia care melampirkan ktp asli sesuai nama akun tidak ada jawaban sudah 3hari ini. tidak penting kah menurut tokopedia keamanan akun customer ? didalamnya terdapat data dengan ktp dan terhubung dengan gopay saya ? semua dikuras habis. hati hati !!",1,4,2025-05-25 08:12:17,hati hati akun tokopedia saya diretas  keamanan tokopedia sangat buruk akun saya email nomer hp dan pin tokopedia diganti oleh peretas tanpa adanya otp ke email maupun sms parahnya lagi sudah saya email ke tokopedia care melampirkan ktp asli sesuai nama akun tidak ada jawaban sudah  ini tidak penting kah menurut tokopedia keamanan akun customer  didalamnya terdapat data dengan ktp dan terhubung dengan gopay saya  semua dikuras habis hati hati,hati hati akun tokopedia saya diretas keamanan tokopedia sangat buruk akun saya email nomer hp dan pin tokopedia diganti oleh peretas tanpa adanya otp ke email maupun sms parahnya lagi sudah saya email ke tokopedia care melampirkan ktp asli sesuai nama akun tidak ada jawaban sudah ini tidak penting kah menurut tokopedia keamanan akun customer didalamnya terdapat data dengan ktp dan terhubung dengan gopay saya semua dikuras habis hati hati,"['hati', 'hati', 'akun', 'tokopedia', 'saya', 'diretas', 'keamanan', 'tokopedia', 'sangat', 'buruk', 'akun', 'saya', 'email', 'nomer', 'hp', 'dan', 'pin', 'tokopedia', 'diganti', 'oleh', 'peretas', 'tanpa', 'adanya', 'otp', 'ke', 'email', 'maupun', 'sms', 'parahnya', 'lagi', 'sudah', 'saya', 'email', 'ke', 'tokopedia', 'care', 'melampirkan', 'ktp', 'asli', 'sesuai', 'nama', 'akun', 'tidak', 'ada', 'jawaban', 'sudah', 'ini', 'tidak', 'penting', 'kah', 'menurut', 'tokopedia', 'keamanan', 'akun', 'customer', 'didalamnya', 'terdapat', 'data', 'dengan', 'ktp', 'dan', 'terhubung', 'dengan', 'gopay', 'saya', 'semua', 'dikuras', 'habis', 'hati', 'hati']",hati hati akun tokopedia diretas keamanan tokopedia buruk akun email nomer hp pin tokopedia diganti peretas otp email sms parahnya email tokopedia care melampirkan ktp asli sesuai nama akun kah tokopedia keamanan akun customer didalamnya data ktp terhubung gopay dikuras habis hati hati,hati hati akun tokopedia retas aman tokopedia buruk akun email nomer hp pin tokopedia ganti retas otp email sms parah email tokopedia care lampir ktp asli sesuai nama akun kah tokopedia aman akun customer dalam data ktp hubung gopay kuras habis hati hati
ICB ICB,"sejak dibeli tiktok banyak fitur jadi aneh, bahkan pencairan otomatis pun dari 2hari jadi 7hari",2,1,2025-05-25 07:49:34,sejak dibeli tiktok banyak fitur jadi aneh bahkan pencairan otomatis pun dari  jadi,sejak dibeli tiktok banyak fitur jadi aneh bahkan pencairan otomatis pun dari jadi,"['sejak', 'dibeli', 'tiktok', 'banyak', 'fitur', 'jadi', 'aneh', 'bahkan', 'pencairan', 'otomatis', 'pun', 'dari', 'jadi']",dibeli tiktok fitur aneh pencairan otomatis,beli tiktok fitur aneh cair otomatis
Nur Khoiriyah,"cs nya lambat penanganannya g gercep, saya kena toko fiktif sudah komplen sdh retur, tp pihak toko kasih alamat g jelas g smpe2 retur sya,,ini malah dr pihak ekspedisi dikembalikan ke alamat sy lg,bingung jdnya mau komplen kmn lg prosesnya lama,bingung jg dana sya yg tertahan entah gimana nti bakal balik ga, udh coba lewat email, TokopediaCare tp gda perkembangan,,toko fiktif nya jg msih jln smpe skrng. pdhl udh sy laporin. g kya si oren gercep",1,2,2025-05-24 20:56:48,cs nya lambat penanganannya g gercep saya kena toko fiktif sudah komplen sdh retur tp pihak toko kasih alamat g jelas g smpe retur syaini malah dr pihak ekspedisi dikembalikan ke alamat sy lgbingung jdnya mau komplen kmn lg prosesnya lamabingung jg dana sya yg tertahan entah gimana nti bakal balik ga udh coba lewat email tokopediacare tp gda perkembangantoko fiktif nya jg msih jln smpe skrng pdhl udh sy laporin g kya si oren gercep,cs nya lambat penanganannya g gercep saya kena toko fiktif sudah komplen sdh retur tapi pihak toko kasih alamat g jelas g smpe retur syaini malah dari pihak ekspedisi dikembalikan ke alamat sy lgbingung jdnya mau komplen kmn lg prosesnya lamabingung jg dana sya yg tertahan entah gimana nti bakal balik tidak udh coba lewat email tokopediacare tapi gda perkembangantoko fiktif nya jg msih jln smpe skrng pdhl udh sy laporin g kya si oren gercep,"['cs', 'nya', 'lambat', 'penanganannya', 'g', 'gercep', 'saya', 'kena', 'toko', 'fiktif', 'sudah', 'komplen', 'sdh', 'retur', 'tapi', 'pihak', 'toko', 'kasih', 'alamat', 'g', 'jelas', 'g', 'smpe', 'retur', 'syaini', 'malah', 'dari', 'pihak', 'ekspedisi', 'dikembalikan', 'ke', 'alamat', 'sy', 'lgbingung', 'jdnya', 'mau', 'komplen', 'kmn', 'lg', 'prosesnya', 'lamabingung', 'jg', 'dana', 'sya', 'yg', 'tertahan', 'entah', 'gimana', 'nti', 'bakal', 'balik', 'tidak', 'udh', 'coba', 'lewat', 'email', 'tokopediacare', 'tapi', 'gda', 'perkembangantoko', 'fiktif', 'nya', 'jg', 'msih', 'jln', 'smpe', 'skrng', 'pdhl', 'udh', 'sy', 'laporin', 'g', 'kya', 'si', 'oren', 'gercep']",cs nya lambat penanganannya g gercep kena toko fiktif komplen sdh retur toko kasih alamat g g smpe retur syaini ekspedisi dikembalikan alamat sy lgbingung jdnya komplen kmn lg prosesnya lamabingung jg dana sya yg tertahan gimana nti udh coba email tokopediacare gda perkembangantoko fiktif nya jg msih jln smpe skrng pdhl udh sy laporin g kya si oren gercep,cs nya lambat tangan g gercep kena toko fiktif komplen sdh retur toko kasih alamat g g smpe retur syaini ekspedisi kembali alamat sy lgbingung jdnya komplen kmn lg proses lamabingung jg dana sya yg tahan gimana nti udh coba email tokopediacare gda perkembangantoko fiktif nya jg msih jln smpe skrng pdhl udh sy laporin g kya si oren gercep
Andri Widayat,"Ini bodoh yg upgrade tampilan, biar kelihatan kerja apa gimana???? balikin ke tampilan awal.",1,4,2025-05-24 20:55:53,ini bodoh yg upgrade tampilan biar kelihatan kerja apa gimana balikin ke tampilan awal,ini bodoh yg upgrade tampilan biar kelihatan kerja apa gimana balikin ke tampilan awal,"['ini', 'bodoh', 'yg', 'upgrade', 'tampilan', 'biar', 'kelihatan', 'kerja', 'apa', 'gimana', 'balikin', 'ke', 'tampilan', 'awal']",bodoh yg upgrade tampilan biar kerja gimana balikin tampilan,bodoh yg upgrade tampil biar kerja gimana balikin tampil
raghibash Ashshabar,"kurang ketat dalam pemilihan orang dalam menjadi seller sehingga banyak muncul penipuan didalam aplikasi. saya pernah membeli barang pre order dan mengkonfirmasi dulu apakah barang asli apa tidak, dan saat barang sampai ternyata bukan barang itu yang dikirimkan. dan saat dikembalikan terhalang dikarenakan seller tidak bisa dihubungi juga alamat nya yang tidak jelas sehingga dana saya tidak bisa kembali . padahal sudah konfirmasi di Tokopedia care tapi hanya dibalas akan dibantu.😡",1,9,2025-05-24 20:21:13,kurang ketat dalam pemilihan orang dalam menjadi seller sehingga banyak muncul penipuan didalam aplikasi saya pernah membeli barang pre order dan mengkonfirmasi dulu apakah barang asli apa tidak dan saat barang sampai ternyata bukan barang itu yang dikirimkan dan saat dikembalikan terhalang dikarenakan seller tidak bisa dihubungi juga alamat nya yang tidak jelas sehingga dana saya tidak bisa kembali  padahal sudah konfirmasi di tokopedia care tapi hanya dibalas akan dibantu,kurang ketat dalam pemilihan orang dalam menjadi seller sehingga banyak muncul penipuan didalam aplikasi saya pernah membeli barang pre order dan mengkonfirmasi dulu apakah barang asli apa tidak dan saat barang sampai ternyata bukan barang itu yang dikirimkan dan saat dikembalikan terhalang dikarenakan seller tidak bisa dihubungi juga alamat nya yang tidak jelas sehingga dana saya tidak bisa kembali padahal sudah konfirmasi di tokopedia care tapi hanya dibalas akan dibantu,"['kurang', 'ketat', 'dalam', 'pemilihan', 'orang', 'dalam', 'menjadi', 'seller', 'sehingga', 'banyak', 'muncul', 'penipuan', 'didalam', 'aplikasi', 'saya', 'pernah', 'membeli', 'barang', 'pre', 'order', 'dan', 'mengkonfirmasi', 'dulu', 'apakah', 'barang', 'asli', 'apa', 'tidak', 'dan', 'saat', 'barang', 'sampai', 'ternyata', 'bukan', 'barang', 'itu', 'yang', 'dikirimkan', 'dan', 'saat', 'dikembalikan', 'terhalang', 'dikarenakan', 'seller', 'tidak', 'bisa', 'dihubungi', 'juga', 'alamat', 'nya', 'yang', 'tidak', 'jelas', 'sehingga', 'dana', 'saya', 'tidak', 'bisa', 'kembali', 'padahal', 'sudah', 'konfirmasi', 'di', 'tokopedia', 'care', 'tapi', 'hanya', 'dibalas', 'akan', 'dibantu']",ketat pemilihan orang seller muncul penipuan didalam aplikasi membeli barang pre order mengkonfirmasi barang asli barang barang dikirimkan dikembalikan terhalang seller dihubungi alamat nya dana konfirmasi tokopedia care dibalas dibantu,ketat pilih orang seller muncul tipu dalam aplikasi beli barang pre order konfirmasi barang asli barang barang kirim kembali halang seller hubung alamat nya dana konfirmasi tokopedia care balas bantu
MXP,"gak tau sekarang kok beds bgt CS nya, lebih bnyak boot / robot/ komputer, jawaban template semua. beda sama yang dulu jawaban cepat dan ngerti masalah. pelayanan menurun",2,2,2025-05-24 20:14:04,gak tau sekarang kok beds bgt cs nya lebih bnyak boot  robot komputer jawaban template semua beda sama yang dulu jawaban cepat dan ngerti masalah pelayanan menurun,tidak tau sekarang kok beds banget cs nya lebih bnyak boot robot komputer jawaban template semua beda sama yang dulu jawaban cepat dan ngerti masalah pelayanan menurun,"['tidak', 'tau', 'sekarang', 'kok', 'beds', 'banget', 'cs', 'nya', 'lebih', 'bnyak', 'boot', 'robot', 'komputer', 'jawaban', 'template', 'semua', 'beda', 'sama', 'yang', 'dulu', 'jawaban', 'cepat', 'dan', 'ngerti', 'masalah', 'pelayanan', 'menurun']",tau beds banget cs nya bnyak boot robot komputer template beda cepat ngerti pelayanan menurun,tau beds banget cs nya bnyak boot robot komputer template beda cepat ngerti layan turun
